body-site	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subject	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0003852080123266564	0.01759039508585788	0.034550355305072285	0.04402810304449649	0.02850678733031674	0.0005736576411197798	0.0003811459789099225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24_7|f__S24_7_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001271617497456765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Barnesiellaceae_|f___Barnesiellaceae__g__L6	0.0	0.0	0.0007351139426611125	0.001717408274785324	0.0018099547511312218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Odoribacteraceae_|g__Butyricimonas	0.0	0.0	0.0015927468757657437	0.002654176424668228	0.0022624434389140274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Odoribacteraceae_|g__Odoribacter	0.0	0.0	0.002572898799313894	0.004839968774395004	0.003167420814479638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Paraprevotellaceae_|f___Paraprevotellaceae__x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046466128637808754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043146843089313965
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Paraprevotellaceae_|f___Paraprevotellaceae__g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012550988390335738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Paraprevotellaceae_|g__Paraprevotella	0.004879301489470981	0.0	0.0	0.0	0.0	0.034304726938962825	0.009782746792021344	0.016768509307943727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f___Paraprevotellaceae_|g___Prevotella_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004069175991861648	0.02302781577747378	0.008857956342929452	0.012550988390335738	0.0027662517289073307	0.004933051444679351	0.009270965023177412	0.023233064318904376	0.001347103726986978	0.0	0.022017409114183307	0.005208333333333333	0.0015841584158415843	0.0	0.002187545573866122	0.007188231360748913	0.08169135624910111
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Adhaeribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006839945280437756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
