class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subclass	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl
subject	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.f__Moraxellaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.09883903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.f__Sphingomonadaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3163.55583676	0.0	0.0	0.0	4635.48251159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	8810.57268722	3684.41112946	4015.60348784	10143.8109913	3619.90950226	4215.45667447	2572.89879931	5584.25240821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2214.48908573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.f__Lachnospiraceae_x__L6	10373.7388092	28585.9484182	41418.0816888	20929.6353364	74962.2926094	112099.921936	68978.1916197	20103.3086696	627.549419517	632.711167352	1823.98540812	2543.23499491	2690.14428956	0.0	2114.16490486	7113.21873148	0.0	0.0	0.0	0.0	0.0	11505.8248238	8525.57673019	7145.98220796	5580.35714286
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.o__Clostridiales_x__L5	4973.71038795	3303.26515055	1835.70445158	5136.10683102	4223.22775264	2966.43247463	0.0	6142.67764903	627.549419517	0.0	683.994528044	0.0	0.0	0.0	1409.44326991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__SR1.p__SR1_c__L3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568.87354879	1581.77791838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2279.98176015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	2557.90819952	3049.16783128	2524.09362093	4237.28813559	0.0	2029.66432475	2205.34182798	1256.45679185	0.0	4428.97817146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7844.36774396	6643.4672572	19151.8467852	3560.52899288	0.0	19384.7450485	5637.77307963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
